# ORIG TITLE: 大學生就讀類科之比率
# ORIG AUTHORITY: Taiwan Ministry of Education (中華民國教育部）
# ORIG SOURCE: http://www.edu.tw/pages/detail.aspx?Node=3378&Page=14083&Index=5
# ORIG LINK: https://stats.moe.gov.tw/files/important/OVERVIEW_U04.XLS
# TITLE: Taiwan College Student Distribution
# DESC:
#   This dataset is re-organized by Liang Bo Wang at 2013.06
#
#   All departments are divided into three main categories: 
#   humanity(hum), social science(socialsci) and technology
#   follwing on the current policy.
#
schoolyear,year,hum,socialsci,tech
92,2003,139341,311265,386996
93,2004,147041,334332,413155
94,2005,152594,350540,435514
95,2006,155915,361896,448780
96,2007,161611,369771,456532
97,2008,166953,380479,458670
98,2009,171656,384707,454589
99,2010,176439,393310,451887
100,2011,183051,403079,446855
101,2012,187950,412806,437285
