# 本資料由 PaiChiou (基隆金城武) 於 2013.08.08 分享
# 文章代碼(AID): #1I0eeAVU (NTU) [ptt.cc] [分享] B02級男女比例表
# 文章網址: http://www.ptt.cc/bbs/NTU/M.1375898122.A.7DE.html
# 資料簡述：
#       台灣大學 B02級(2013.09入學) 新生男女比例表
#
# TODO:
#       * 性別比按院系作圖
#       * 人數按院系作圖
#       * 聯誼人數配對問題
#
  系所          總人數  男      女      性別比
中文系          60人    13      47      27.7
圖資系          52人    12      40      30
外文系          122人   31      91      34.1
護理系          51人    13      38      34.2
日文系          56人    16      40      40
社會系          48人    15      33      45.5
生傳系          54人    17      37      45.9
職治系          43人    14      29      48.3
政治系國關組    64人    21      43      48.8
人類系          42人    14      28      50
會計系          117人   39      78      50
社工系          58人    20      38      52.6
法律系司法組    58人    20      38      52.6
政治系公行組    57人    21      36      58.3
政治系全體      176人   66      110     60
法律系財法組    58人    23      35      65.7
公衛學系        51人    21      30      70
法律系法學組    62人    26      36      72.2
工管系企管組    71人    30      41      73.2
園藝系          61人    26      35      74.3
國企系          93人    40      53      75.5
政治系政論組    55人    24      31      77.4
歷史系          59人    26      33      78.8
哲學系          45人    20      25      80
動科系          43人    20      23      87
工管系全體      105人   51      54      94.4
農藝系          45人    22      23      95.7
戲劇系          40人    20      20      100
物治系          49人    25      24      104.2
經濟系          128人   66      62      106.5
生技系          52人    27      25      108
心理系          67人    35      32      109.4
地理系          41人    22      19      115.8
財金系          123人   66      57      115.8
農化系          47人    26      21      123.8
獸醫系          69人    39      30      130
農經系          53人    30      23      130
醫技系          42人    24      18      133.3
森林系          88人    51      37      137.8
工管系科管組    34人    21      13      161.5
生科系          77人    48      29      165.5
藥學系          56人    36      20      180
大氣系          36人    24      12      200
牙醫系          31人    21      10      210
昆蟲系          41人    28      13      215.2
醫學系          132人   91      41      222
植微系          36人    25      11      227.3
生工系          53人    38      15      253.3
生物機電系      44人    33      11      300
資管系          50人    38      12      316.7
電機系          171人   141     30      470
資工系          119人   99      20      495
地質系          43人    36      7       514.3
土木系          116人   98      18      544.4
化工系          125人   106     19      557.9
材料系          54人    46      8       575
物理系          63人    54      9       600
化學系          61人    53      8       662.5
工科海洋系      49人    43      6       716.7
機械系          160人   146     14      1042.8
數學系          52人    49      3       1633.3
